30 150
-36.0100014305	50.0
-36.0000014305	50.0
-33.0000013113	50.01
-36.0100014305	50.0
-36.0000014305	50.0
-33.0000013113	50.0
21.9999998808	120.000004768
21.9999998808	120.010004768
25.0	120.000004768
21.9999998808	120.010004768
21.9999998808	120.000004768
25.0	120.000004768
-50.0	10.010000149
-50.0	10.000000149
-52.999997139	10.020000149
-50.0	10.000000149
-50.0	10.010000149
-52.100000009	10.000000149
-50.0	-10.000000149
-50.0	-10.020000149
-52.999997139	-10.010000149
-50.0	-10.020000149
-50.0	-10.000000149
-52.999997139	-10.000000149
-50.0	50.01
57.9999983311	52.999997139
10.010000149	100.0
-55.0100011921	0.0
18.0200007153	72.000002861
-28.0100001192	20.000000298
