24 150
-36.0100014305	50.0
-36.0000014305	50.0
-33.0000013113	50.01
-36.004706836	50.0
-35.990831058	50.0
-33.0000013113	50.0
21.9999998808	120.000004768
21.9999998808	120.010004768
25.0	120.000004768
22.0079173502	120.010004768
22.0087985257	120.000004768
25.0085415164	120.000004768
-50.0	10.010000149
-50.0	10.000000149
-52.999997139	10.020000149
-49.9908486674	10.000000149
-49.9914475944	10.010000149
-52.100000009	10.000000149
-50.0	-10.000000149
-50.0	-10.020000149
-52.999997139	-10.010000149
-49.99364391	-10.020000149
-49.9904948543	-10.000000149
-52.999997139	-10.000000149
